,programTitle,infoCat,region,url,description,organization,contact,page
136,['Canada Pavilion Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program'],['\nThe Canada Pavilion Program aims to make trade show participation easier for Canadian companies at the world’s premier food and beverage events ‘where the world shops’.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.mas-sam.aac@canada.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n'],6
137,['Canada Pension Plan'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/15-029.htm'],['\nThis Factsheet is intended to serve as a guide to the Canada Pension Plan and not as expert advice.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],6
138,['Canada Pork International'],[],[' Across Canada '],['http://canadapork.com/'],"['\nJoint initiative of the Canadian Meat and Pork Councils, representing pork packers and trading companies.\n']",['\nCanada Pork International\n'],"['\n220 Laurier Avenue West, Suite 900, Ottawa, ON, K1P 5Z9\n1-613-236-9886\n\ncpi@canadapork.com\n\n']",6
139,['Canada Supply and Disposition'],[],[],['https://open.alberta.ca/publications/canada-supply-and-disposition'],"['\nData on historic and projected supplies, production, imports, exports, usage, and stocks of grains in Canada.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],6
140,['Canada United Small Business Relief Fund'],[],[' Across Canada '],['https://occ.ca/canada-united-small-business-relief-fund/'],['\nThe Canada United Small Business Relief Fund (CUSBRF) was established to help small businesses offset the cost of expenses to reopen safely or adopt digital technologies to move more of their business online.\n'],['\nOntario Chamber of Commerce\n'],['\n1-866-855-9553\n'],6
141,['Canada and Saskatchewan Community Pasture Transition Program'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/canadian-agricultural-partnership-cap/risk-management/pasture-transition-program'],['\n\nThe Canada Community Pasture Transition Program and Saskatchewan Pasture Program (SPP) Transition Program offer funds to help Canada Community Pasture Program and SPP Transition Program patrons lease Saskatchewan pasture land.\n\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],6
142,"[""Canada's Outstanding Young Farmers Program""]",[],[' Across Canada '],['http://oyfcanada.com/language/en/'],['\nRecognizes young farmers between the ages of 18 and 39 who get a minimum of two-thirds of their income from farm operations.\n'],"[""\nCanada's Outstanding Young Farmers Program\n""]",['\nCarla Kaeding\n1-306-896-7833\n\nCanadaOYF@gmail.com\n\n'],6
143,"[""Canada's agriculture sectors""]",[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors'],"['\nAgriculture industry by sector, data on international markets, initiatives to support awareness of the industry in Canada.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.info.aac@agr.gc.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n'],6
144,['Canada-BC Agri-Innovation Program'],[],[],['https://iafbc.ca/agri-innovation/'],"['\nProvides funding for research and pilot projects leading to the commercialization and/or adoption of innovative products, technologies and practices.\n']",['\nInvestment Agriculture Foundation of BC\n'],['\n\nfunding@iafbc.ca\n\n1-250-940-6150\n'],6
145,['Canada-Ontario Environmental Farm Plan (EFP)'],[],[],['https://www.ontariosoilcrop.org/oscia-programs/workshops-webinars/environmental-farm-plan/'],"['\nThe Ontario Ministry of Agriculture, Food and Rural Affairs continues to offer workshops, resources and eLearning opportunities at no cost for the agri-food and agri-products sector.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\noscia@ontariosoilcrop.org\n\n1-519-826-4214\n1-800-265-9751\n'],6
146,['Canada-Ontario Transported Feed AgriRecovery Initiative'],[],[],['https://www.agricorp.com/en-ca/Programs/AgriRecovery/transported-feed/Pages/Overview.aspx'],['\nProvides government support to livestock farmers in northwestern Ontario who have incurred extraordinary costs to source feed or transport livestock to feed arising from drought conditions since June of 2021\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-888-247-4999\n1-877-275-1380\n\ntransportfeed@agricorp.com\n\n'],6
147,['Canada-Quebec Initiative to Assist Livestock Producers in Mitigating the Impact of COVID-19 for 2020-2021'],[],[],['https://www.fadq.qc.ca/en/canada-quebec-initiative-to-assist-livestock-producers-in-mitigating-the-impact-of-covid-19-for-2020-2021/description/'],['\nThe federal and Quebec governments have jointly developed an AgriRecovery initiative to support Quebec livestock producers affected by the COVID-19 pandemic. This initiative provides financial assistance to compensate for some of the additional expenses incurred by producers to keep surplus animals on the farm.\n'],['\nLa Financière agricole du Québec\n'],['\n1-418-838-5602\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],6
148,['Canada-Saskatchewan Irrigation Diversification Centre'],[],[],['https://agriculture.canada.ca/en/about-our-department/offices-and-locations/canada-saskatchewan-irrigation-diversification-centre'],['\nThe Canada-Saskatchewan Irrigation Diversification Centre (CSIDC) promotes economically and environmentally sustainable irrigation practices to producers and industry.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.csidc-crdi.aac@agr.gc.ca\n\n1-306-867-9656\n1-306-867-5400\n'],6
149,"[""Canada-United States-Mexico Agreement and Canada's Agriculture Sector""]",['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/canada-united-states-mexico-agreement-and-canadas-agriculture-sector'],"['\nOn September 30, 2018, the United States, Mexico and Canada announced the completion of negotiations toward a new Canada-United States-Mexico Agreement (CUSMA). The CUSMA will preserve the existing agriculture commitments between Canada, the United States (U.S.), and Mexico, and help to further bring together an already highly integrated industry.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@canada.ca\n\n'],6
150,['Canada-Yukon Canadian Agricultural Partnership Funding Report 2018-2019'],['Guides/Information'],[],['https://yukon.ca/en/canada-yukon-canadian-agricultural-partnership-funding-report-2018-2019'],['\nThis report provides an overview of the projects approved in Yukon under the Canada-Yukon Canadian Agricultural Partnership in 2018-2019. It details the amount of approved funding and total project costs. Published by the Agriculture Branch.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n'],6
151,['CanadaGAP Program'],[],[],['https://www.canadagap.ca/'],['\nCanadaGAP® is a program developed in Canada to promote Good Agricultural Practices (GAPs) for fruit and vegetable suppliers.\n'],['\nCanadaGAP Program\n'],"['\n245 Menten Place, Suite 312 Ottawa, ON Canada K2H 9E8\n1-613-829-4711\n\ninfo@canadagap.ca\n\n']",6
152,['Canada’s Lands Company'],[],[' Across Canada '],['https://www.clc-sic.ca/'],"['\nThe principal goal of the company\'s mandate as determined by Cabinet is: ""to ensure the commercially oriented, orderly disposition of surplus properties with optimal value to the Canadian taxpayer and the holding of certain properties.""\n']",['\nCanada’s Lands Company\n'],['\n1-416 214-1198\n\nmlapensee@clc.ca\n\n\nhttp://www.clcl.ca/contact-us\n\n'],6
153,['Canadian Agri-Food Policy Institute'],[],[' Across Canada '],['https://capi-icpa.ca/'],"['\nLeads policy analysis on agri-food issues, and advances public policy.\xa0\n']",['\nCanadian Agri-Food Policy Institute\n'],"['\n960 Carling Avenue, Central Experimental Farm, Building 49, Ottawa, ON, K1A 0C6\n1-613-759-1027\n\ninfo@capi-icpa.ca\n\n']",6
154,['Canadian Agri-Food Trade Alliance'],[],[' Across Canada '],['http://cafta.org/'],['\nCAFTA’s core mandate is to advance multilateral liberalization of agriculture and agri-food trade through the progressive reduction of trade distorting protection and support.\n'],['\nCanadian Agri-Food Trade Alliance\n'],['\n\ninfo@cafta.org\n\n1-613-560-0500\n'],6
155,['Canadian Agri-Marketing Association'],[],[' Across Canada '],['https://www.cama.org/'],['\nRepresents and promotes the agri-marketing industry.\n'],['\nCanadian Agri-Marketing Association\n'],['\n\ninfo@cama.org\n\n\nhttps://www.cama.org/contact-us/\n\n'],6
156,['Canadian Agricultural Human Resource Council'],[],[' Across Canada '],['https://cahrc-ccrha.ca'],['\nAddresses human resource issues facing agricultural businesses across Canada.\n'],['\nCanadian Agricultural Human Resource Council\n'],"['\n1410 Blair Place, Suite 404, Ottawa, ON, K1J 9B9\n\ninfo@cahrc-ccrha.ca\n\n1-613-745-7457\n']",6
157,['Canadian Agricultural Loans Act (CALA) Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-loans-act-program'],['\nThe\xa0Canadian Agricultural Loans Act\xa0(CALA) Program is a loan guarantee program designed to increase the availability of loans to farmers and agricultural co-operatives.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.fgp-pgf.aac@agr.gc.ca\n\n1-866-367-8506\n1-613-773-2600\n'],6
158,['Canadian Agricultural Partnership'],[],[],['https://www.iti.gov.nt.ca/en/services/canadian-agricultural-partnership'],['\nThe Canadian Agricultural Partnership (CAP) is a suite of programs and funding designed to help support agriculture in Canada. It is delivered in the NWT by the GNWT in partnership with the Government of Canada.\n'],"['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext 63107\n'],6
159,['Canadian Agricultural Partnership Cost-share Program'],[],[],['http://www.omafra.gov.on.ca/english/cap/index.htm'],"['http://www.omafra.gov.on.ca/english/cap/index.htm#supportingontarioEligible producers, processors, agri-business, organizations and collaborations can apply for cost-share funding for projects in three key priority areas.\nAll cost-share funding assistance under the Partnership will be merit-based and project funding amounts are individually established based on new and updated project categories.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-519-826-4047\n1-877-424-1300\n'],6
160,['Canadian Agricultural Partnership Program Guide - Newfoundland and Labrador'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/cap/'],"['\nThe Canadian Agricultural Partnership will provide $37 million in funding for the agriculture, agri-foods, and agri-products sector to support employment creation, new entrants, secondary processing, economic growth, and food self-sufficiency.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nCAP@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n'],6
161,['Canadian Agricultural Safety Association'],[],[' Across Canada '],['https://www.casa-acsa.ca/en/canadian-agricultural-safety-association/'],['\nPromotes farm safety in the agricultural sector.\n'],['\nCanadian Agricultural Safety Association\n'],"['\n3325–C Pembina Highway Winnipeg, MB, R3V 0A2\n1-204-452-2272\n1-877-452-2272\n1-204-261-5004\n\ninfo@casa-acsa.ca\n\n']",6
162,['Canadian Agricultural Strategic Priorities Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program'],"['\nThe Canadian Agricultural Strategic Priorities Program (CASPP) supports the Canadian agricultural sector’s participation in the Government of Canada’s growth and policy objectives, by investing in the sector’s design, development and implementation of tools and strategies to respond to and seize opportunities created by these objectives.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n1-866-367-8506\n1-613-773-2600\n\naafc.caspp-pcpsa.aac@agr.gc.ca\n\n'],6
163,['Canadian Agriculture Partnership'],[],[],['https://yukon.ca/en/funding-agriculture'],['\nThe Canadian Agricultural Partnership provides funding to help Yukon agriculture. View our\xa0program guide\xa0to find our list of funding programs and find out if you are eligible to apply.\xa0\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n\nagriculture@gov.yk.ca\n\n1-867-393-6222\n1-867-667-5838\n'],6
164,['Canadian Albacore Tuna'],[],[' Across Canada '],['http://canadianalbacoretuna.com/'],['\nPromotes the Canadian albacore tuna industry.\n'],['\nCanadian Albacore Tuna\n'],"['\n4829 Maplegrove Street, Victoria, BC, V8Y 3B9\n1-250-658-0179\n\nCHMSF@ieccorporate.com\n\n']",6
165,['Canadian Angus Association'],[],[' Across Canada '],['https://cdnangus.ca/'],"['\nMaintains breed registry, breed purity and provides services that enhance the growth of the Angus breed.\n']",['\nCanadian Angus Association\n'],"['\n292140 Wagon Wheel Blvd, Rocky View County, AB, T4A 0E2\n\ncdnangus@cdnangus.ca\n\n1-403-571-3599\n1-403-571-3580\n1-888-571-3580\n']",6
166,['Canadian Animal Health Coalition'],[],[' Across Canada '],['https://animalhealth.ca/'],['\nPromotes a collaborative approach to Canadian animal health.\n'],['\nCanadian Animal Health Coalition\n'],"['\nBox 1314, Grand Bend, ON, N0M 1T0\n\ninfo@animalhealth.ca\n\n1-403-870-8784\n']",6
167,['Canadian Animal Health Institute'],[],[' Across Canada '],['https://www.cahi-icsa.ca/'],['\nRepresents the manufacturers and distributors of the medications that keep animals healthy.\n'],['\nCanadian Animal Health Institute\n'],"['\n160 Research Lane, Suite 102, Guelph, ON, N1G 5B2\n1-519-763-7777\n1-519-763-7407\n\ncahi@cahi-icsa.ca\n\n']",6
168,['Canadian Association for Food Studies'],[],[' Across Canada '],['https://foodstudies.info/'],"['\nPromotes education in food policy, production, distribution and consumption.\n']",['\nCanadian Association for Food Studies\n'],"['\nLakehead University, 955 Oliver Road, Thunder Bay, ON, P7B 5E1\n\ncafsadmin@foodstudies.ca\n\n\nhttps://cafs.landfood.ubc.ca/en/contact/\n\n']",6
169,['Canadian Association of Agri-Retailers'],[],[' Across Canada '],['https://caar.org'],"['\nProduces programs and services, protect members’ rights and interests, and supports the agriculture industry.\n']",['\nCanadian Association of Agri-Retailers\n'],"['\n205-1 Wesley Avenue, Winnipeg, MB R3C 4C6\n\ninfo@caar.org\n\n1-204-989-9306\n1-204-989-9300\n1-800-463-9323\n']",6
170,['Canadian Association of Fairs and Exhibitions'],[],[' Across Canada '],['https://www.canadian-fairs.ca/'],"['\nRepresents fairs, large urban exhibitions, and other associations connected to the Canadian fair industry.\n']",['\nCanadian Association of Fairs and Exhibitions\n'],"['\nP.O. Box 21053 (WEPO), Brandon, MB, R7B 3W8\n1-800-663-1714\n\ninfo@canadian-fairs.ca\n\n']",6
171,['Canadian Association of Farm Advisors'],[],[' Across Canada '],['https://www.cafanet.ca/'],['\nAssists farm businesses by increasing the skills and knowledge of farm advisors.\n'],['\nCanadian Association of Farm Advisors\n'],"['\nP.O. Box 270, Seven Sisters Falls, MB, R0E 1Y0\n1-204-348-3578\n1-877-474-2871\n\ninfo@cafanet.com\n\n']",6
172,['Canadian Association of Importers and Exporters'],[],[' Across Canada '],['https://iecanada.com/'],['\nRepresents the Canadian trade community.\n'],['\nCanadian Association of Importers and Exporters\n'],"['\n3601 HIGHWAY 7 EAST, MARKHAM, ONTARIO\n1-866-616-2243\n\ninfo@iecanada.com\n\n']",6
173,['Canadian Association of Prawn Producers'],[],[' Across Canada '],['https://www.shrimp-canada.com/'],"['\nRepresents the interests of producers of coldwater shrimp, and promotes sustainability and responsible management of coldwater shrimp.\n']",['\nCanadian Association of Prawn Producers\n'],"['\n1362 Revell Drive, Manotick, ON, K4M 1K8\n1-613-692-8249\n1-613-692-8250\n\noffice@shrimp-canada.com\n\n']",6
174,['Canadian Association of Professional Apiculturists'],['Guides/Information'],[' Across Canada '],['http://www.capabees.com/'],"['\nCanadian Association of Professional Apiculturists members study, educate and administrate in the fields of apiculture and pollination.\n']",['\nCanadian Association of Professional Apiculturists\n'],['\n\nhttp://www.capabees.com/contact-capa/\n\n'],6
175,['Canadian Beef Breeds Council'],[],[' Across Canada '],['http://www.canadianbeefbreeds.com/'],['\nRepresents the Canadian beef cattle seedstock sector.\n'],['\nCanadian Beef Breeds Council\n'],"['\n180- 6815 8th St. NE Calgary, Alberta Canada T2E 7H7\n\ninfo@beefbreeds.ca\n\n1-403-730-0350\n']",6
176,['Canadian Beef Grading Agency'],[],[' Across Canada '],['http://canadianbeefgradingage.live-website.com/'],['\nDelivers grading services for beef in Canada.\n'],['\nCanadian Beef Grading Agency\n'],"['\n#180, 6815-8th Street NE, Calgary, AB, T2E 7H7\n\ncbga@telus.net\n\n1-888-582-3888\n1-403-274-0301\n']",6
177,['Canadian Beverage Association'],[],[' Across Canada '],['https://www.canadianbeverage.ca/'],['\nRepresent the makers of non-alcoholic beverages across Canada.\n'],['\nCanadian Beverage Association\n'],"['\n20 Bay Street, WaterPark Place, Toronto, ON, M5J 2N8\n1-416-362-2424\n1-416-362-3229\n\ninfo@canadianbeverage.ca\n\n']",6
178,['Canadian Bison Association'],['Guides/Information'],[' Across Canada '],['https://www.canadianbison.ca/'],"['\nThe Canadian Bison Association is responsible for providing guidance on a number of issues including: marketing, animal health, research, animal identification, government liaison, trade, traceability, the bison registry, conservation and other developmental initiatives.\n']",['\nCanadian Bison Association\n'],['\n200 - 1660 Pasqua St. P.O. Box 3116 Regina SK S4P 3G7\n1-306-522-4766\n1-306-522-4768\n\ncba1@sasktel.net\n\n'],6
179,"[""Canadian Blonde d'Aquitaine Association""]",[],[' Across Canada '],['http://www.canadianblondeassociation.ca/'],"[""\nPromotes the Blonde d'Aquitaine beef breed to livestock breeders across Canada.\n""]","[""\nCanadian Blonde d'Aquitaine Association\n""]","['\n2417 Holly Lane, Ottawa, ON, K1V 0M7\n1-613-731-7110\n1-613-731-0704\n\ncbda@clrc.ca\n\n']",6
180,['Canadian Bottled Water Association'],[],[' Across Canada '],['https://www.cbwa.ca/'],['\nRepresents the Canadian bottled water industry and ensures a high standard of quality.\n'],['\nCanadian Bottled Water Association\n'],"['\n7357 Woodbine Avenue, Suite 617, Markham, ON, L3R 6L3\n1-416-618-1763\n1-877-354-2788\n\ngriswold@cbwa.ca\n\n']",6
181,['Canadian Brown Swiss and Braunvieh Association'],[],[' Across Canada '],['http://browncow.ca/'],"['\nEncourages, develops and regulates the breeding of Brown Swiss dairy cattle and Braunvieh beef cattle in Canada.\n']",['\nCanadian Brown Swiss and Braunvieh Association\n'],"['\n20 Corporate Place, Brantford, ON, N3T 5R4\n1-519-756-4720\n1-519-763-3502\n\nbrownswiss@holstein.ca\n\n']",6
182,['Canadian Canola Growers Association'],[],[' Across Canada '],['http://www.ccga.ca/'],"['\nAt the Canadian Canola Growers Association (CCGA), our vision is “helping farmers succeed” and our mission is “to influence national and international issues, programs and policies to enhance the success of Canadian canola farmers”.\n']",['\nCanadian Canola Growers Association\n'],['\n1-204-788-0090\n1-613-232-0223\n1-866-745-2256\n1-204-788-0039\n'],6
183,['Canadian Cattle Identification Agency'],[],[' Across Canada '],['https://www.canadaid.ca/'],['\nProvides leadership and services to the livestock industry.\n'],['\nCanadian Cattle Identification Agency\n'],"['\n7646–8 Street, NE Calgary, AB, T2E 8X4\n1-403-275-2083\n1-877-909-2333\n\ninfo@canadaid.ca\n\n']",6
184,['Canadian Cattlemen’s Association'],[],[' Across Canada '],['http://www.cattle.ca/'],"[""\nThe Canadian Cattlemen's Association (CCA) structure represents every phase of the production system; the purebred, cow/calf, backgrounding and feedlot sectors. Our association was founded by producers and is led by a producer-elected board of directors from across Canada.\n""]",['\nCanadian Cattlemen’s Association\n'],['\n1-403-275-8558\n1-403-274-5686\n\nfeedback@cattle.ca\n\n'],6
185,['Canadian Centre for Agri-Food Research in Health and Medicine'],[],[' Across Canada '],['http://www.sbrc.ca/ccarm/'],"['\nInvestigates the potential health-related benefits found in nutraceuticals, functional foods, and natural health products.\n']",['\nCanadian Centre for Agri-Food Research in Health and Medicine\n'],"['\n351 Taché Avenue, Winnipeg, MB, R2H 2A6\n1-204-235-3206\n1-204-235-0793\n\ninfo@sbrc.ca\n\n']",6
186,['Canadian Charolais Association'],[],[' Across Canada '],['https://charolais.com/'],"['\nPromotes Charolais cattle, and acts as the official breed registry for Charolais cattle in Canada.\n']",['\nCanadian Charolais Association\n'],"['\nCraig Scott\n2320-41st Ave NE, Calgary, AB, T2E 6W8\n1-403-250-9242\n1-403-291-9324\n\ncscott@charolais.com\n\n']",6
187,['Canadian Christmas Tree Growers'],[],[' Across Canada '],['https://canadianchristmastrees.ca/'],['\nProvides members with information about sustainable Christmas tree business practices.\n'],['\nCanadian Christmas Tree Growers\n'],['\nShirley Brennan\n1-416-949-2498\n\nshirleyinhockley@yahoo.ca\n\n'],6
188,['Canadian Co-operative Wool Growers Limited'],[],[' Across Canada '],['https://www.wool.ca/'],['\nProvide Canadian sheep producers and shareholders with a competitive wool marketing and livestock supply service.\n'],['\nCanadian Co-operative Wool Growers Limited\n'],"['\nBox 130, 142 Franktown Road, Carleton Place, ON, K7C 3P3\n1-613-257-2714\n1-800-488-2714\n1-613-257-8896\n\nccwghq@wool.ca\n\n']",6
189,['Canadian Commercial Corporation (CCC)'],[],[' Across Canada '],['https://www.ccc.ca/'],['\nThe Canadian Commercial Corporation (CCC) helps Canadian exporters sell products and services abroad — and helps foreign governments purchase Canadian solutions to satisfy their national procurement priorities.\n'],['\nCanadian Commercial Corporation\n'],['\n1-613-996-0034\n1-800-748-8191\n1-613-995-2121\n\ninfo@ccc.ca\n\n'],6
190,['Canadian Dairy Commission'],[],[' Across Canada '],['http://www.cdc-ccl.gc.ca/CDC/index-eng.php'],['\nThe Canadian Dairy Commission is a Crown corporation which was established in 1966 with the mandate of coordinating federal and provincial dairy policies and creating a control mechanism for milk production which would help stabilize revenues and avoid costly surpluses.\n'],['\nCanadian Dairy Commission\n'],['\n1-613-792-2000\n1-613-792-2082\n1-613-792-2009\n\ncdc-ccl@cdc-ccl.gc.ca\n\n'],6
191,['Canadian Dairy Information Centre'],[],[' Across Canada '],['https://www.dairyinfo.gc.ca/index_e.php'],['\nThe Canadian Dairy Information Centre (CDIC) is a unique Internet reference for statistics and market information on the Canadian dairy industry.\xa0\xa0'],['\nCanadian Dairy Information Centre\n'],"['\n1342 Baseline Road, Tower 5, 4th Floor, Ottawa, ON, K1A 0C5\n1-613-773-0200\n\naafc.cdic-ccil.aac@canada.ca\n\n']",6
192,['Canadian Dairy Network'],[],[' Across Canada '],['https://www.cdn.ca/home.php'],['\nSupports the development of a prosperous and sustainable Canadian dairy industry.\n'],['\nCanadian Dairy Network\n'],"['\n660 Speedvale Avenue West, Suite 102 Guelph, ON, N1K 1E5\n1-519-767-9660\n1-519-767-6768\n']",6
193,['Canadian Dairy Research Portal'],[],[' Across Canada '],['https://www.dairyresearch.ca/'],['\nThe site contains a vast collection of dairy cattle research results and knowledge at your fingertips.\n'],['\nDairy Farmers of Canada\n'],['\n\ninfo@dairyresearch.ca\n\n613-236-9997 519-767-9660\n'],6
194,['Canadian Dexter Cattle Association'],['Guides/Information'],[' Across Canada '],['https://www.dextercattle.ca/'],['\nProvides information about Dexter cattle in Canada.\n'],['\nCanadian Dexter Cattle Association\n'],"['\nRon Black\n2417 Holly Lane, Ottawa, ON, K1V 0M7\n1-613-731-7110\n1-877-833-7110\n1-613-731-0704\n\nron.black@clrc.ca\n\n']",6
195,['Canadian Drought Monitor'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/canadian-drought-monitor'],"[""\nThe Canadian Drought Monitor (CDM) is Canada's official source for the monitoring and reporting of drought in Canada.\n""]",['\nAgriculture Agri-Food Canada\n'],['\n\naafc.droughtwatch-guetterlasecheresse.aac@agr.gc.ca\n\n1-613-773-2600\n'],6
196,['Canadian Egg and Poultry Processors Council'],[],[' Across Canada '],['https://www.cpepc.ca'],"['\nRepresents processors, packagers, and distributors of chicken, turkey, eggs, and hatcheries in Canada.\n']",['\nCanadian Egg and Poultry Processors Council\n'],"['\nSusan Mallet\n400-1545 Carling Avenue, Ottawa, ON, K1Z 8P9\n\njmlaurin@cpepc.ca\n\n1-613-724-6605\n']",6
197,['Canadian Federation of Agriculture'],[],[' Across Canada '],['https://www.cfa-fca.ca/'],"['\nPromotes the interests of Canadian agriculture producers to ensure the continued development of a trusted, sustainable, and vibrant agriculture sector across Canada.\n']",['\nCanadian Federation of Agriculture\n'],"['\n21 Florence Street, Ottawa, ON, K1P 0W6\n1-613-236-3633\n1-613-236-5749\n\ninfo@canadian-farmers.ca\n\n']",6
198,['Canadian Federation of Independent Grocers'],[],[' Across Canada '],['https://cfig.ca/'],['\nProvides programs for operational excellence and fosters relationships among retailers and suppliers.\n'],['\nCanadian Federation of Independent Grocers\n'],"['\n105 Gordon Baker Road, Suite 401, North York, ON, M2H 3P8\n1-416-492-2311\n1-800-661-2344\n1-416-492-2347\n\ninfo@cfig.ca\n\n']",6
199,['Canadian Food Exporters Association'],[],[' Across Canada '],['https://www.cfea.com/'],"['\nCanadian Food Exporters is a non-profit industry association, focused on the enhancement of export efforts in the Canadian food and beverage industry.\n']",['\nCanadian Food Exporters Association\n'],['\n\ninfo@cfea.com\n\n1-416-639-2110\n1-416-445-3747\n'],6
200,['Canadian Food Inspection Agency'],[],[' Across Canada '],['http://www.inspection.gc.ca/eng/1297964599443/1297965645317'],"['\nAdministers acts and regulations, and implements government-wide regulatory initiatives.\n']",['\nCanadian Food Inspection Agency\n'],"['\n1400 Merivale Road, Ottawa, ON, K1A 0Y9\n1-613-773-2342\n1-800-442-2342\n1-800-465-7735\n\ncfia.media.acia@canada.ca\n\n']",7
201,['Canadian Forage and Grassland Association'],[],[' Across Canada '],['https://www.canadianfga.ca/'],['\nRepresents all sectors of the forage and grassland industry.\n'],['\nCanadian Forage and Grassland Association\n'],"['\n466 Queen Street, Fredericton, NB, E3B 1B6\n\ninfo@canadianfga.ca\n\n\nhttps://www.canadianfga.ca/contact/\n\n']",7
202,['Canadian Franchise Association'],[],[' Across Canada '],['https://www.cfa.ca/'],"['\nRepresents the franchise community in Canada, and helps Canadians build businesses.\n']",['\nCanadian Franchise Association\n'],"['\n116-5399 Eglinton Avenue W, Toronto, ON, M9C 5K6\n1-416-695-2896\n1-800-665-4232\n1-416-695-1950\n\ninfo@cfa.ca\n\n']",7
203,['Canadian Galloway Association'],[],[' Across Canada '],['https://www.galloway.ca'],['\nPromotes and regulates the breeding of Galloway cattle in Canada.\n'],['\nCanadian Galloway Association\n'],"['\nRon Black\n2417 Holly Lane, Ottawa, ON, K1V 0M7\n\ngalloway@clrc.ca\n\n1-613-731-0704\n1-613-731-7110\n']",7
204,['Canadian Gelbvieh Association'],[],[' Across Canada '],['https://gelbvieh.ca/'],"['\nRegisters and records the pedigrees of Gelbvieh cattle, and promotes the breed across Canada.\n']",['\nCanadian Gelbvieh Association\n'],"['\n5160 Skyline Way NE, Calgary, AB, T2E 6V1\n1-403-250-8640\n1-403-291-5624\n\ngelbvieh@gelbvieh.ca\n\n\nhttps://gelbvieh.ca/contact.php\n\n']",7
205,['Canadian Goat Genetics'],[],[' Across Canada '],['http://www.goatgenetics.ca/index.cfm'],['\nProvides information dedicated to the promotion of Canadian Goat Genetics.\n'],['\nCanadian Goat Genetics\n'],"['\nBuilding #75, Central Experimental Farm, Ottawa, ON, K1A 0C6\n1-613-233-8872\n1-613-233-8903\n\ninfo@goatgenetics.ca\n\n']",7
206,['Canadian Goat Society'],[],[' Across Canada '],['https://goats.ca/'],"['\nMaintains herd books, provides programs, and promotes the responsible and humane treatment of goats.\n']",['\nCanadian Goat Society\n'],"['\nPO Box 31084, Willow West, Guelph, ON, N1H 8K1\n1-226-332-3166\n\ninfo@goats.ca\n\n']",7
207,['Canadian Grain Commission'],[],[' Across Canada '],['https://www.grainscanada.gc.ca/en/'],['\nThe Canadian Grain Commission regulates grain handling in Canada and establishes and maintains science-based standards of quality for Canadian grain.\n'],['\nCanadian Grain Commission\n'],['\n1-204-984-0506\n1-800-853-6705\n1-866-317-4289\n1-204-983-2751\n\ncontact@grainscanada.gc.ca\n\n'],7
